20232 2395.75 5.20702  2346.19 7.21348  2143.48 11.1913  2229.11 7.85875  2344.38 6.66545  2383.24 7.40507  2273.17 6.56893  1382.11 1178.34 
20233 0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0 
20234 2389.5 4.98688  2353.04 6.59054  2139.18 7.77941  2235.92 7.508  2377.17 7.35051  2382.81 9.44088  2266.15 6.0147  1449.57 86.8501 
20235 0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0 
20236 2375.09 7.85789  2350.8 9.82535  2120.73 11.9811  2237.53 11.9484  2346.92 11.2229  2391.05 11.516  2266.21 7.74245  -2199.19 3743.95 
20237 2394.0 5.4609  2341.3 10.2493  2153.52 10.076  2208.25 11.3279  2359.77 8.49688  2388.6 7.25374  2275.98 6.07697  2081.78 199.971 
20238 0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0 
20239 2387.91 6.72354  2336.65 10.2313  2115.71 25.9693  2213.01 14.0667  2369.43 19.898  2365.2 21.7301  2285.92 10.1425  618.636 44.1253 
20240 2393.275 2.74786465708  2346.04 3.98042765185  2146.025 3.76635705209  2236.975 4.28497052898  2368.535 3.7958047732  2408.51 4.07540771393  2283.59 2.69807870525  -1259.5595 321.946588845 
20241 2402.713 1.12723725152  2375.65 1.67796241081  2140.459 1.88108019153  2242.628 1.83414867363  2372.475 1.65161532172  2412.468 1.66785053921  2298.579 1.32350345771  707.1705 3.6706138416 
20242 0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0 
20243 2415.52 2.58991460555  2388.695 4.83516783811  2149.16 4.60652114194  2251.81 4.55821334166  2379.08 3.48884213816  2413.37 4.05971303628  2309.05 2.84571162462  727.4415 11.365217921 
20244 2426.257 1.17536341947  2394.308 1.64036954961  2158.646 1.98532316091  2259.72 1.83477558652  2392.813 1.6573000005  2422.774 1.76661905324  2322.888 1.3436361083  714.5298 4.08438093903 
20245 0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0 
20246 2433.801 1.19683976399  2406.423 1.74180702676  2168.428 1.90668213874  2268.47 1.90027304852  2410.081 1.70495803989  2445.686 1.69840731645  2338.405 1.40696603102  205.6876 403.648858391 
20247 0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0 
20248 2430.13 2.54914757236  2420.705 3.74615370307  2177.57 4.06299485545  2277.245 4.41022575831  2418.73 3.47784657572  2456.42 3.7047358523  2351.9 2.96798412482  696.327 7.81350383238 
20249 2438.475 1.14251386012  2417.803 1.66156893953  2201.739 2.16303449199  2279.731 2.01342878244  2419.85 1.71363618584  2458.941 1.77491921822  2357.395 1.35182277115  711.6159 4.31078175604 
